Video Title,Like Count,View Count,Comment Count,Subscriber Count,video_id,mean_sentiment
INSANE GIANT MATCH BOTTLE FIRE!,43644,4667077,2299,28000000,jpF4fGIt44g,0.39841276
10K ORBEEZ BALLOON VOLCANO!,38905,3756271,3902,28000000,CBD_WDV1CXg,0.44894183
"1,000 Degree Ball VS Frozen Water",15496,926496,863,28000000,RDEeAor-N4o,0.41283756
Super unexpected DIY life hacks,25865,1465828,2907,28000000,qFQjEZF8TiA,0.4170543
"Will 20,000 Gumballs flush?",23687,1704526,1429,28000000,JYXLaKKir_4,0.365456
Industrial Shredder VS Watermelon!,26381,2515645,767,28000000,LyjItXepTvk,0.38973218
Magma Vs Liquid Nitrogen!,13700,867918,505,28000000,zAGnb5N0jBU,0.37528804
AWESOME FIRE EXPERIMENTS,19501,1498189,1328,28000000,QmEzNqPWI64,0.40099967
Amazing science experiments with magnets,22852,1563333,1048,28000000,lTtWIRh2i7w,0.42985994
iPhone 11 Vs FIREWORKS!,16553,1122909,680,28000000,NLhHpKv9z38,0.4025457
Amazing Magnet Experiments,13824,1101556,1163,28000000,1X80GHDLL7w,0.41273144
"INSANE 500,000 MATCHES CANNON!",33021,1692631,1365,28000000,XgypGXAkDOk,0.3720132
SUPER POWERFUL FIREWORK VS LOCK,10335,754024,804,28000000,pCkJpxNv6l4,0.3931664
15 Amazing Crafts That You Must See,17526,1922692,3105,28000000,OQBgnJA0Cc4,0.5766559
"Will 20,000 GUMBALLS BLEND?",24372,1382927,1102,28000000,s3OTJgDlJec,0.4225559
AMAZING DIY DC MOTOR AIRPLANE!,20384,1803723,2022,28000000,8mAVK2yJkDU,0.43661517
WORLD'S LARGEST FIRECRACKER!,20839,1210603,569,28000000,JMIsODTA720,0.4288912
GAS TORCH vs GUMMY BEAR,10297,797422,1060,28000000,Y1Ddfj3Gwmg,0.3970801
MICROWAVING ALUMINIUM FOIL,11751,583729,1130,28000000,gxhH0n8vzeI,0.41454569
Giant Mentos Crafts & Experiments,38416,3571499,2885,28000000,tdvchZwNNV0,0.4626642
